rankingId,rankingTitle,state,value,displayValue,direction,directionLabel,metricId
affordability,Affordability Rankings,Idaho,100,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,North Dakota,99,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Louisiana,98,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Nebraska,98,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Arkansas,96,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Oklahoma,96,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Utah,96,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Washington,96,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Iowa,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Kentucky,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Montana,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Nevada,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,South Dakota,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Tennessee,95,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Missouri,94,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Mississippi,93,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,North Carolina,92,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Wyoming,92,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Kansas,91,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,South Carolina,90,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Oregon,89,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Florida,88,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Georgia,88,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,New Mexico,88,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Virginia,88,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,West Virginia,88,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Arizona,87,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Colorado,86,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Texas,86,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Indiana,85,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Minnesota,85,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Alabama,84,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Ohio,83,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Delaware,82,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Illinois,82,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Pennsylvania,80,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Wisconsin,79,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Maryland,74,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Michigan,72,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,New Jersey,65,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Vermont,63,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,New Hampshire,61,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,New York,59,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Alaska,55,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Massachusetts,52,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Maine,48,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Rhode Island,44,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Connecticut,37,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,California,34,,desc,Highest to lowest,affordabilityIndex
affordability,Affordability Rankings,Hawaii,0,,desc,Highest to lowest,affordabilityIndex
value-score,Value Score Rankings,Idaho,97,,desc,Highest to lowest,valueScore
